mapping_address,address,latitude,longitude,region_code,state,country
Melbourne Elsternwick,"Elsternwick VIC 3185, Australia",-37.8849536,145.0059691,0,VIC,Australia
Waikato Te Awamutu,"Te Awamutu, New Zealand",-38.0087105,175.3210648,1,,New Zealand
"Tumut, Snowy & Monaro Cooma","Tumut St, Cooma NSW 2630, Australia",-36.2360609,149.1161901,0,NSW,Australia
Bunbury & South West Broadwater,"Bunbury WA 6230, Australia",-33.3270001,115.6408421,0,,Australia
Richmond & Hawkesbury Windsor,"Windsor NSW 2756, Australia",-33.606782,150.82046,0,NSW,Australia
Sydney Earlwood,"Earlwood NSW 2206, Australia",-33.9241073,151.1255927,0,NSW,Australia
Brisbane Beenleigh,"Beenleigh QLD 4207, Australia",-27.7150151,153.1939492,0,QLD,Australia
Wagga Wagga & Riverina,"Wagga Wagga NSW 2650, Australia",-35.1025977,147.3655103,0,NSW,Australia
Brisbane Booval,"Booval QLD 4304, Australia",-27.614358,152.788861,0,QLD,Australia
Brisbane Coopers Plains,"Coopers Plains QLD, Australia",-27.5704325,153.0381708,0,QLD,Australia
"Tumut, Snowy & Monaro Bombala","Bombala NSW 2632, Australia",-36.9108684,149.240079,0,NSW,Australia
Coober Pedy & Outback SA Innamincka,"Coober Pedy SA 5723, Australia",-29.013516,134.7544219,0,SA,Australia
Sydney Greenwich,"Greenwich NSW 2065, Australia",-33.8351158,151.1850513,0,NSW,Australia
Auckland Wiri,"Wiri, Auckland, New Zealand",-37.0060675,174.8552808,1,,New Zealand
Brisbane Woolloongabba,"Woolloongabba QLD, Australia",-27.486534,153.035968,0,QLD,Australia
Auckland Flat Bush,"Flat Bush, Auckland, New Zealand",-36.9673481,174.9247278,1,,New Zealand
Melbourne Mickleham,"Mickleham VIC 3064, Australia",-37.5346231,144.9057665,0,VIC,Australia
Sydney Turrella,"Turrella NSW 2205, Australia",-33.9307172,151.1433506,0,NSW,Australia
Gosford & Central Coast Watanobbi,"Watanobbi NSW 2259, Australia",-33.2676468,151.4258337,0,NSW,Australia
Melbourne Fairfield,"Fairfield VIC 3078, Australia",-37.7790074,145.0181267,0,VIC,Australia
Bundaberg & Wide Bay Burnett Bargara,"Bundaberg Central QLD 4670, Australia",-24.8661024,152.3488923,0,QLD,Australia
Sunshine Coast Caloundra West,"Caloundra West QLD 4551, Australia",-26.8030768,153.0929648,0,QLD,Australia
Perth Neerabup,"Neerabup WA 6031, Australia",-31.6819959,115.75079,0,,Australia
Adelaide Glenelg,"Glenelg SA 5045, Australia",-34.980383,138.5131191,0,SA,Australia
West Gippsland & Latrobe Valley Flynn,"Gippsland, VIC, Australia",-37.5831982,147.4627259,0,VIC,Australia
Northern QLD Charters Towers,"Charters Towers QLD 4820, Australia",-20.0769637,146.2601362,0,QLD,Australia
Darwin Shoal Bay,"Shoal Bay NSW 2315, Australia",-32.7262404,152.1745666,0,NSW,Australia
Melbourne Chadstone,"Chadstone VIC 3148, Australia",-37.8810091,145.0959519,0,VIC,Australia
Ballarat & Central Highlands Armstrong,"Ballarat Central VIC 3350, Australia",-37.5610117,143.8549159,0,VIC,Australia
Richmond & Hawkesbury Mcgraths Hill,"McGraths Hill NSW 2756, Australia",-33.6179506,150.8419976,0,NSW,Australia
Gladstone & Central QLD Moura,"Gladstone Central QLD 4680, Australia",-23.8415948,151.2497708,0,QLD,Australia
Brisbane Brisbane Market,"385 Sherwood Rd, Rocklea QLD 4106, Australia",-27.5360073,153.0007126,0,QLD,Australia
Ballarat & Central Highlands Mount Clear,"Ballarat Central VIC 3350, Australia",-37.5610117,143.8549159,0,VIC,Australia
Brisbane Camp Hill,"Camp Hill QLD, Australia",-27.4982559,153.076164,0,QLD,Australia
Wellington Grenada Village,"Grenada Village, Wellington, New Zealand",-41.2003296,174.8296122,1,,New Zealand
Sydney Alexandria,"Alexandria NSW 2015, Australia",-33.9080273,151.1902576,0,NSW,Australia
Sydney Castle Hill,"Castle Hill NSW 2154, Australia",-33.7348232,151.0030714,0,NSW,Australia
